site_id,site_short,site_name,site_type,country,region,lon,lat,reference_lon,reference_lat,reference_name,coord_offset_km,coord_method,coord_checked,buffer_km,importance_level,relevance_to_oil_market,expected_signal,notes
P001,Rotterdam,Port of Rotterdam,port,Netherlands,Europe,4.145,51.950,4.1508,51.9435,Europoort Rotterdam oil port,0.82,public_reference_plus_visual_refinement,1,5,high,major European oil trading and refining hub,port and industrial land-surface activity,Brent pricing hub
P002,Fujairah,Fujairah Oil Terminal,terminal,United Arab Emirates,Middle East,56.356,25.199,56.3546,25.2086,Vopak Horizon Fujairah Terminal,1.07,public_reference_plus_visual_refinement,1,5,high,key oil storage and bunkering hub in the Gulf,tank farm and terminal activity,Hormuz exit storage
P003,RasTanura,Ras Tanura Terminal,terminal,Saudi Arabia,Middle East,50.157,26.643,50.1571,26.6403,Ras Tanura Terminal,0.30,public_reference_plus_visual_refinement,1,5,high,major crude oil export terminal,terminal and coastal infrastructure activity,Aramco core export
P004,Jurong,Singapore Jurong Island,refinery,Singapore,Asia,103.708,1.274,103.7213,1.2799,ExxonMobil Singapore Refinery,1.62,public_reference_plus_visual_refinement,1,5,high,major refining and petrochemical hub,refinery and industrial land-surface activity,Malacca Strait node
P005,Houston,Houston Ship Channel,port,United States,North America,-95.100,29.736,-95.1333,29.7307,Houston Ship Channel Deer Park corridor,3.27,public_reference_plus_visual_refinement,1,5,high,major US refining and oil-export corridor,port refinery and industrial activity,Gulf Coast hub
P006,NingboZhoushan,Ningbo-Zhoushan Port,port,China,East Asia,121.982,29.935,121.9958,29.9228,Ningbo Shihua Crude Oil Terminal (Daxie Island),1.90,public_reference_plus_visual_refinement,1,5,high,China largest crude import port and global top cargo port,port and tank farm activity,China demand proxy
P007,Jamnagar,Jamnagar Refinery,refinery,India,South Asia,69.860,22.345,69.8596,22.3452,Reliance Jamnagar Refinery,0.04,public_reference_plus_visual_refinement,1,5,high,world largest single-site refinery at 1.24M bpd,refinery and industrial land-surface activity,India demand proxy
P008,Basra,Basra Oil Terminal,terminal,Iraq,Middle East,48.810,29.681,48.8080,29.6834,Al Basrah Oil Terminal,0.33,public_reference_plus_visual_refinement,1,5,high,Iraq main crude export point handling over 95 pct of exports,terminal and offshore loading activity,OPEC second producer
P009,Ulsan,Ulsan Refinery,refinery,South Korea,East Asia,129.343,35.433,129.3429,35.4332,SK Ulsan Refinery,0.02,public_reference_plus_visual_refinement,1,5,high,world 3rd largest refinery at 840k bpd and East Asian refining hub,refinery and petrochemical complex activity,East Asia demand proxy
P010,Kharg,Kharg Island Terminal,terminal,Iran,Middle East,50.324,29.231,50.3333,29.2333,Kharg Island Oil Terminal,0.94,public_reference_plus_visual_refinement,1,5,high,handles 90-96 pct of Iran crude exports at 1.5-2.5M bpd,island terminal and tanker loading activity,OPEC third producer
P011,Yanbu,Yanbu Export Terminal,terminal,Saudi Arabia,Middle East,38.229,23.961,38.2454,23.9643,Saudi Aramco Yanbu Crude Oil Terminal,1.70,public_reference_plus_visual_refinement,1,5,high,Red Sea crude export terminal and Petroline terminus at 4.5M bpd nominal,terminal and tanker loading activity,Hormuz bypass route
